Amber,,
OSJitter,,
,Mean Involuntary Context Switches (All But One Core in Use),S
,Mean Involuntary Context Switches (All Cores in Use),S
,Mean Involuntary Context Switches (Half of Cores in Use),S
,Mean Noise (All But One Core in Use),S
,Mean Noise (All Cores in Use),S
,Mean Noise (Half of Cores in Use),S
,Median Involuntary Context Switches (All But One Core in Use),S
,Median Involuntary Context Switches (All Cores in Use),S
,Median Involuntary Context Switches (Half of Cores in Use),S
,Median Noise (All But One Core in Use),S
,Median Noise (All Cores in Use),S
,Median Noise (Half of Cores in Use),S
,Stddev Involuntary Context Switches (All But One Core in Use),S
,Stddev Involuntary Context Switches (All Cores in Use),S
,Stddev Involuntary Context Switches (Half of Cores in Use),S
,Stddev Noise (All But One Core in Use),S
,Stddev Noise (All Cores in Use),S
,Stddev Noise (Half of Cores in Use),S
,Wall Clock Time,S
,,
Quantum ESPRESSO,,
,Per-Process Dynamical Memory,S
,Time Spent in Electron Energy Calculation,S
,Time Spent in Force Calculation,S
,Time Spent in Program Initialization,S
,User Time,S
,Wall Clock Time,S
,,
WRF,,
,Average Floating-Point Performance,
,Average Simulation Speed,
,Mean Time To Simulate One Timestep,S
,Output Data Size,S
,Peak Floating-Point Performance,
,Peak Simulation Speed,
,Time Spent on I/O,S
,Wall Clock Time,S
,,
CESM,,
,Atmosphere Component Simulation Performance,
,Coupler Component Simulation Performance,
,Initialization Time,S
,Land Component Simulation Performance,
,Max Per-Process Memory (Resident Set Size),S
,Max Per-Process Memory (Virtual Size),S
,Mean Time To Simulate One Day,S
,Median Time To Simulate One Day,S
,Min Per-Process Memory (Resident Set Size),S
,Min Per-Process Memory (Virtual Size),S
,Ocean Component Simulation Performance,
,Output Data Size,S
,Overall Simulation Performance,
,Sea-Ice Component Simulation Performance,
,Time Spent in Atmosphere Component,S
,Time Spent in Coupler Component,S
,Time Spent in Land Component,S
,Time Spent in Ocean Component,S
,Time Spent in Sea-Ice Component,S
,Wall Clock Time,S
